超清央卫,#genre#
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
CCTB高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
广东珠江,http://38.75.136.137:98/gslb/dsdqbv/gdzj.m3u8?auth=test20251009
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
中国气象,http://38.75.136.137:98/gslb/dsdqpub/zgqx.m3u8?auth=testpub
咪咕视频,#genre#
CCTV-1综合,http://101.42.157.180:1234/608807420
CCTV-2财经,http://101.42.157.180:1234/631780532
CCTV-3综艺,http://101.42.157.180:1234/624878271
CCTV-4国际,http://101.42.157.180:1234/631780421
CCTV-5体育,http://101.42.157.180:1234/641886683
CCTV-5+赛事,http://101.42.157.180:1234/641886773
CCTV-6电影,http://101.42.157.180:1234/624878396
CCTV-7军事,http://101.42.157.180:1234/673168121
CCTV-8电视,http://101.42.157.180:1234/624878356
CCTV-9纪录,http://101.42.157.180:1234/673168140
CCTV-10科教,http://101.42.157.180:1234/624878405
CCTV-11戏曲,http://101.42.157.180:1234/667987558
CCTV-12社法,http://101.42.157.180:1234/673168185
CCTV-13新闻,http://101.42.157.180:1234/608807423
CCTV-14少儿,http://101.42.157.180:1234/624878440
CCTV-15音乐,http://101.42.157.180:1234/673168223
CCTV-17农村,http://101.42.157.180:1234/673168256
CCTV-4欧洲,http://101.42.157.180:1234/608807419
CCTV-4美洲,http://101.42.157.180:1234/608807416
CGTN纪录,http://101.42.157.180:1234/609006487
CGTN阿语,http://101.42.157.180:1234/609154345
CGTN西语,http://101.42.157.180:1234/609006450
CGTN法语,http://101.42.157.180:1234/609006476
CGTN俄语,http://101.42.157.180:1234/609006446
老故事,http://101.42.157.180:1234/884121956
发现之旅,http://101.42.157.180:1234/624878970
中学生,http://101.42.157.180:1234/708869532
CGTN,http://101.42.157.180:1234/609017205
赛事最经典,http://101.42.157.180:1234/646596895
体坛名栏汇,http://101.42.157.180:1234/629943305
四海钓鱼,http://101.42.157.180:1234/637444975
陕西体育休闲,http://101.42.157.180:1234/956909356
武术世界,http://101.42.157.180:1234/958475359
快乐垂钓,http://101.42.157.180:1234/961930263
辽宁体育休闲,http://101.42.157.180:1234/962067526
东方卫视,http://101.42.157.180:1234/651632648
江苏卫视,http://101.42.157.180:1234/623899368
广东卫视,http://101.42.157.180:1234/608831231
北京卫视,http://101.42.157.180:1234/630287636
辽宁卫视,http://101.42.157.180:1234/630291707
河北卫视,http://101.42.157.180:1234/962042070
江西卫视,http://101.42.157.180:1234/783847495
河南卫视,http://101.42.157.180:1234/790187291
陕西卫视,http://101.42.157.180:1234/738910838
大湾区卫视,http://101.42.157.180:1234/608917627
湖北卫视,http://101.42.157.180:1234/947472496
吉林卫视,http://101.42.157.180:1234/947472500
青海卫视,http://101.42.157.180:1234/947472506
东南卫视,http://101.42.157.180:1234/849116810
海南卫视,http://101.42.157.180:1234/947472502
海峡卫视,http://101.42.157.180:1234/849119120
农林卫视,http://101.42.157.180:1234/956904896
兵团卫视,http://101.42.157.180:1234/956923145
宁夏卫视,http://101.42.157.180:1234/738910535
重庆卫视,http://101.42.157.180:1234/738910914
三沙卫视,http://101.42.157.180:1234/961023778
上海新闻综合,http://101.42.157.180:1234/651632657
东方影视,http://101.42.157.180:1234/617290047
第1财经,http://101.42.157.180:1234/608780988
南京新闻综合,http://101.42.157.180:1234/838109047
南京教科,http://101.42.157.180:1234/838153729
南京十八生活,http://101.42.157.180:1234/838151753
体育休闲,http://101.42.157.180:1234/626064707
江苏城市,http://101.42.157.180:1234/626064714
江苏国际,http://101.42.157.180:1234/626064674
江苏教育,http://101.42.157.180:1234/628008321
江苏影视,http://101.42.157.180:1234/626064697
江苏综艺,http://101.42.157.180:1234/626065193
公共新闻,http://101.42.157.180:1234/626064693
盐城新闻综合,http://101.42.157.180:1234/639731825
淮安新闻综合,http://101.42.157.180:1234/639731826
泰州新闻综合,http://101.42.157.180:1234/639731818
连云港新闻综合,http://101.42.157.180:1234/639731715
宿迁新闻综合,http://101.42.157.180:1234/639731832
徐州新闻综合,http://101.42.157.180:1234/639731747
优漫卡通,http://101.42.157.180:1234/626064703
江阴新闻综合,http://101.42.157.180:1234/955227979
南通新闻综合,http://101.42.157.180:1234/955227985
宜兴新闻综合,http://101.42.157.180:1234/955227996
溧水新闻综合,http://101.42.157.180:1234/639737327
陕西银龄,http://101.42.157.180:1234/956909362
陕西都市青春,http://101.42.157.180:1234/956909358
陕西秦腔,http://101.42.157.180:1234/956909303
陕西新闻资讯,http://101.42.157.180:1234/956909289
财富天下,http://101.42.157.180:1234/956923159
镇江新闻综合,http://101.42.157.180:1234/639731783
辽宁公共,http://101.42.157.180:1234/962045223
辽宁生活,http://101.42.157.180:1234/962045226
辽宁影视剧,http://101.42.157.180:1234/962067517
宁夏文旅,http://101.42.157.180:1234/962067523
宁夏经济,http://101.42.157.180:1234/962067520
经典香港电影,http://101.42.157.180:1234/625703337
抗战经典影片,http://101.42.157.180:1234/617432318
新片放映厅,http://101.42.157.180:1234/619495952
CHC影迷电影,http://101.42.157.180:1234/952383261
CHC动作电影,http://101.42.157.180:1234/644368714
CHC家庭影院,http://101.42.157.180:1234/644368373
和美乡途轮播台,http://101.42.157.180:1234/713591450
广东影视,http://101.42.157.180:1234/614961829
中国天气,http://101.42.157.180:1234/959986621
CETV1,http://101.42.157.180:1234/923287154
CETV2,http://101.42.157.180:1234/923287211
CETV4,http://101.42.157.180:1234/923287339
山东教育,http://101.42.157.180:1234/609154353
熊猫01,http://101.42.157.180:1234/609158151
熊猫1,http://101.42.157.180:1234/608933610
熊猫2,http://101.42.157.180:1234/608933640
熊猫3,http://101.42.157.180:1234/608934619
熊猫4,http://101.42.157.180:1234/608934721
熊猫5,http://101.42.157.180:1234/608935104
熊猫6,http://101.42.157.180:1234/608935797
熊猫7,http://101.42.157.180:1234/609169286
熊猫8,http://101.42.157.180:1234/609169287
熊猫9,http://101.42.157.180:1234/609169226
熊猫10,http://101.42.157.180:1234/609169285
最强综艺趴,http://101.42.157.180:1234/629942228
嘉佳卡通,http://101.42.157.180:1234/614952364
经典动画大集合,http://101.42.157.180:1234/629942219
新动漫,http://101.42.157.180:1234/961930269
新动力量创一流,http://101.42.157.180:1234/713589837
中华特产,http://101.42.157.180:1234/959986618
环球旅游,http://101.42.157.180:1234/958475356
茶频道,http://101.42.157.180:1234/961930369
央卫频道,#genre#
CCTV1综合,http://43.251.226.89:8080/play/1.m3u8
CCTV2财经,http://43.251.226.89:8080/play/2.m3u8
CCTV3综艺,http://43.251.226.89:8080/play/3.m3u8
CCTV4中文国际,http://43.251.226.89:8080/play/4.m3u8
CCTV5体育,http://43.251.226.89:8080/play/5.m3u8
CCTV5+体育赛事,http://43.251.226.89:8080/play/6.m3u8
CCTV6电影,http://43.251.226.89:8080/play/7.m3u8
CCTV7国防军事,http://43.251.226.89:8080/play/8.m3u8
CCTV8电视剧,http://43.251.226.89:8080/play/9.m3u8
CCTV9纪录,http://43.251.226.89:8080/play/10.m3u8
CCTV10科教,http://43.251.226.89:8080/play/11.m3u8
CCTV11戏曲,http://43.251.226.89:8080/play/12.m3u8
CCTV12社会与法,http://43.251.226.89:8080/play/13.m3u8
CCTV13新闻,http://43.251.226.89:8080/play/14.m3u8
CCTV14少儿,http://43.251.226.89:8080/play/15.m3u8
CCTV15音乐,http://43.251.226.89:8080/play/16.m3u8
CCTV17农业农村,http://43.251.226.89:8080/play/17.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/18.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/19.m3u8
CGTN外语纪录,http://43.251.226.89:8080/play/20.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/21.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/22.m3u8
CGTN法语,http://43.251.226.89:8080/play/23.m3u8
CGTN俄语,http://43.251.226.89:8080/play/24.m3u8
CGTN,http://43.251.226.89:8080/play/25.m3u8
赛事最经典,http://43.251.226.89:8080/play/26.m3u8
体坛名栏汇,http://43.251.226.89:8080/play/27.m3u8
四海钓鱼,http://43.251.226.89:8080/play/28.m3u8
陕西体育休闲频道,http://43.251.226.89:8080/play/29.m3u8
武术世界,http://43.251.226.89:8080/play/30.m3u8
快乐垂钓,http://43.251.226.89:8080/play/31.m3u8
辽宁广播电视台体育休闲频道,http://43.251.226.89:8080/play/32.m3u8
东方卫视,http://43.251.226.89:8080/play/33.m3u8
江苏卫视,http://43.251.226.89:8080/play/34.m3u8
广东卫视,http://43.251.226.89:8080/play/35.m3u8
北京卫视,http://43.251.226.89:8080/play/36.m3u8
辽宁卫视,http://43.251.226.89:8080/play/37.m3u8
河北卫视,http://43.251.226.89:8080/play/38.m3u8
江西卫视,http://43.251.226.89:8080/play/39.m3u8
河南卫视,http://43.251.226.89:8080/play/40.m3u8
陕西卫视,http://43.251.226.89:8080/play/41.m3u8
大湾区卫视,http://43.251.226.89:8080/play/42.m3u8
湖北卫视,http://43.251.226.89:8080/play/43.m3u8
吉林卫视,http://43.251.226.89:8080/play/44.m3u8
青海卫视,http://43.251.226.89:8080/play/45.m3u8
东南卫视,http://43.251.226.89:8080/play/46.m3u8
海南卫视,http://43.251.226.89:8080/play/47.m3u8
海峡卫视,http://43.251.226.89:8080/play/48.m3u8
中国农林卫视,http://43.251.226.89:8080/play/49.m3u8
兵团卫视,http://43.251.226.89:8080/play/50.m3u8
宁夏卫视,http://43.251.226.89:8080/play/51.m3u8
重庆卫视,http://43.251.226.89:8080/play/52.m3u8
三沙卫视,http://43.251.226.89:8080/play/53.m3u8
上海新闻综合,http://43.251.226.89:8080/play/54.m3u8
上视东方影视,http://43.251.226.89:8080/play/55.m3u8
上海第一财经,http://43.251.226.89:8080/play/56.m3u8
南京新闻综合频道,http://43.251.226.89:8080/play/57.m3u8
南京教科频道,http://43.251.226.89:8080/play/58.m3u8
南京十八频道,http://43.251.226.89:8080/play/59.m3u8
体育休闲频道,http://43.251.226.89:8080/play/60.m3u8
江苏城市频道,http://43.251.226.89:8080/play/61.m3u8
江苏国际,http://43.251.226.89:8080/play/62.m3u8
江苏教育,http://43.251.226.89:8080/play/63.m3u8
江苏影视频道,http://43.251.226.89:8080/play/64.m3u8
江苏综艺频道,http://43.251.226.89:8080/play/65.m3u8
公共新闻频道,http://43.251.226.89:8080/play/66.m3u8
盐城新闻综合,http://43.251.226.89:8080/play/67.m3u8
淮安新闻综合,http://43.251.226.89:8080/play/68.m3u8
泰州新闻综合,http://43.251.226.89:8080/play/69.m3u8
连云港新闻综合,http://43.251.226.89:8080/play/70.m3u8
宿迁新闻综合,http://43.251.226.89:8080/play/71.m3u8
徐州新闻综合,http://43.251.226.89:8080/play/72.m3u8
优漫卡通频道,http://43.251.226.89:8080/play/73.m3u8
江阴新闻综合,http://43.251.226.89:8080/play/74.m3u8
南通新闻综合,http://43.251.226.89:8080/play/75.m3u8
宜兴新闻综合,http://43.251.226.89:8080/play/76.m3u8
溧水新闻综合,http://43.251.226.89:8080/play/77.m3u8
陕西银龄频道,http://43.251.226.89:8080/play/78.m3u8
陕西都市青春频道,http://43.251.226.89:8080/play/79.m3u8
陕西秦腔频道,http://43.251.226.89:8080/play/80.m3u8
陕西新闻资讯频道,http://43.251.226.89:8080/play/81.m3u8
财富天下,http://43.251.226.89:8080/play/82.m3u8
镇江新闻综合,http://43.251.226.89:8080/play/83.m3u8
辽宁广播电视台公共频道,http://43.251.226.89:8080/play/84.m3u8
辽宁广播电视台生活频道,http://43.251.226.89:8080/play/85.m3u8
辽宁广播电视台影视剧频道,http://43.251.226.89:8080/play/86.m3u8
宁夏广播电视台文旅频道,http://43.251.226.89:8080/play/87.m3u8
宁夏广播电视台经济频道,http://43.251.226.89:8080/play/88.m3u8
经典香港电影,http://43.251.226.89:8080/play/89.m3u8
抗战经典影片,http://43.251.226.89:8080/play/90.m3u8
新片放映厅,http://43.251.226.89:8080/play/91.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/92.m3u8
CHC动作电影,http://43.251.226.89:8080/play/93.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/94.m3u8
和美乡途轮播台,http://43.251.226.89:8080/play/95.m3u8
南方影视,http://43.251.226.89:8080/play/96.m3u8
央卫频道,#genre#
CCTV1综合,http://43.251.226.89:8080/play/97.m3u8
CCTV2财经,http://43.251.226.89:8080/play/98.m3u8
CCTV3综艺,http://43.251.226.89:8080/play/99.m3u8
CCTV4中文国际,http://43.251.226.89:8080/play/100.m3u8
CCTV5体育,http://43.251.226.89:8080/play/101.m3u8
CCTV5+体育赛事,http://43.251.226.89:8080/play/102.m3u8
CCTV6电影,http://43.251.226.89:8080/play/103.m3u8
CCTV7国防军事,http://43.251.226.89:8080/play/104.m3u8
CCTV8电视剧,http://43.251.226.89:8080/play/105.m3u8
CCTV9纪录,http://43.251.226.89:8080/play/106.m3u8
CCTV10科教,http://43.251.226.89:8080/play/107.m3u8
CCTV11戏曲,http://43.251.226.89:8080/play/108.m3u8
CCTV12社会与法,http://43.251.226.89:8080/play/109.m3u8
CCTV13新闻,http://43.251.226.89:8080/play/110.m3u8
CCTV14少儿,http://43.251.226.89:8080/play/111.m3u8
CCTV15音乐,http://43.251.226.89:8080/play/112.m3u8
CCTV17农业农村,http://43.251.226.89:8080/play/113.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/114.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/115.m3u8
CGTN外语纪录,http://43.251.226.89:8080/play/116.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/117.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/118.m3u8
CGTN法语,http://43.251.226.89:8080/play/119.m3u8
CGTN俄语,http://43.251.226.89:8080/play/120.m3u8
CGTN,http://43.251.226.89:8080/play/121.m3u8
赛事最经典,http://43.251.226.89:8080/play/122.m3u8
体坛名栏汇,http://43.251.226.89:8080/play/123.m3u8
四海钓鱼,http://43.251.226.89:8080/play/124.m3u8
陕西体育休闲频道,http://43.251.226.89:8080/play/125.m3u8
武术世界,http://43.251.226.89:8080/play/126.m3u8
快乐垂钓,http://43.251.226.89:8080/play/127.m3u8
辽宁广播电视台体育休闲频道,http://43.251.226.89:8080/play/128.m3u8
东方卫视,http://43.251.226.89:8080/play/129.m3u8
江苏卫视,http://43.251.226.89:8080/play/130.m3u8
广东卫视,http://43.251.226.89:8080/play/131.m3u8
北京卫视,http://43.251.226.89:8080/play/132.m3u8
辽宁卫视,http://43.251.226.89:8080/play/133.m3u8
河北卫视,http://43.251.226.89:8080/play/134.m3u8
江西卫视,http://43.251.226.89:8080/play/135.m3u8
河南卫视,http://43.251.226.89:8080/play/136.m3u8
陕西卫视,http://43.251.226.89:8080/play/137.m3u8
大湾区卫视,http://43.251.226.89:8080/play/138.m3u8
湖北卫视,http://43.251.226.89:8080/play/139.m3u8
吉林卫视,http://43.251.226.89:8080/play/140.m3u8
青海卫视,http://43.251.226.89:8080/play/141.m3u8
东南卫视,http://43.251.226.89:8080/play/142.m3u8
海南卫视,http://43.251.226.89:8080/play/143.m3u8
海峡卫视,http://43.251.226.89:8080/play/144.m3u8
中国农林卫视,http://43.251.226.89:8080/play/145.m3u8
兵团卫视,http://43.251.226.89:8080/play/146.m3u8
宁夏卫视,http://43.251.226.89:8080/play/147.m3u8
重庆卫视,http://43.251.226.89:8080/play/148.m3u8
三沙卫视,http://43.251.226.89:8080/play/149.m3u8
上海新闻综合,http://43.251.226.89:8080/play/150.m3u8
上视东方影视,http://43.251.226.89:8080/play/151.m3u8
上海第一财经,http://43.251.226.89:8080/play/152.m3u8
南京新闻综合频道,http://43.251.226.89:8080/play/153.m3u8
南京教科频道,http://43.251.226.89:8080/play/154.m3u8
南京十八频道,http://43.251.226.89:8080/play/155.m3u8
体育休闲频道,http://43.251.226.89:8080/play/156.m3u8
江苏城市频道,http://43.251.226.89:8080/play/157.m3u8
江苏国际,http://43.251.226.89:8080/play/158.m3u8
江苏教育,http://43.251.226.89:8080/play/159.m3u8
江苏影视频道,http://43.251.226.89:8080/play/160.m3u8
江苏综艺频道,http://43.251.226.89:8080/play/161.m3u8
公共新闻频道,http://43.251.226.89:8080/play/162.m3u8
盐城新闻综合,http://43.251.226.89:8080/play/163.m3u8
淮安新闻综合,http://43.251.226.89:8080/play/164.m3u8
泰州新闻综合,http://43.251.226.89:8080/play/165.m3u8
连云港新闻综合,http://43.251.226.89:8080/play/166.m3u8
宿迁新闻综合,http://43.251.226.89:8080/play/167.m3u8
徐州新闻综合,http://43.251.226.89:8080/play/168.m3u8
优漫卡通频道,http://43.251.226.89:8080/play/169.m3u8
江阴新闻综合,http://43.251.226.89:8080/play/170.m3u8
南通新闻综合,http://43.251.226.89:8080/play/171.m3u8
宜兴新闻综合,http://43.251.226.89:8080/play/172.m3u8
溧水新闻综合,http://43.251.226.89:8080/play/173.m3u8
陕西银龄频道,http://43.251.226.89:8080/play/174.m3u8
陕西都市青春频道,http://43.251.226.89:8080/play/175.m3u8
陕西秦腔频道,http://43.251.226.89:8080/play/176.m3u8
陕西新闻资讯频道,http://43.251.226.89:8080/play/177.m3u8
财富天下,http://43.251.226.89:8080/play/178.m3u8
镇江新闻综合,http://43.251.226.89:8080/play/179.m3u8
辽宁广播电视台公共频道,http://43.251.226.89:8080/play/180.m3u8
辽宁广播电视台生活频道,http://43.251.226.89:8080/play/181.m3u8
辽宁广播电视台影视剧频道,http://43.251.226.89:8080/play/182.m3u8
宁夏广播电视台文旅频道,http://43.251.226.89:8080/play/183.m3u8
宁夏广播电视台经济频道,http://43.251.226.89:8080/play/184.m3u8
经典香港电影,http://43.251.226.89:8080/play/185.m3u8
抗战经典影片,http://43.251.226.89:8080/play/186.m3u8
新片放映厅,http://43.251.226.89:8080/play/187.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/188.m3u8
CHC动作电影,http://43.251.226.89:8080/play/189.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/190.m3u8
和美乡途轮播台,http://43.251.226.89:8080/play/191.m3u8
南方影视,http://43.251.226.89:8080/play/192.m3u8
央卫频道,#genre#
CCTV1综合,http://43.251.226.89:8080/play/193.m3u8
CCTV2财经,http://43.251.226.89:8080/play/194.m3u8
CCTV3综艺,http://43.251.226.89:8080/play/195.m3u8
CCTV4中文国际,http://43.251.226.89:8080/play/196.m3u8
CCTV5体育,http://43.251.226.89:8080/play/197.m3u8
CCTV5+体育赛事,http://43.251.226.89:8080/play/198.m3u8
CCTV6电影,http://43.251.226.89:8080/play/199.m3u8
CCTV7国防军事,http://43.251.226.89:8080/play/200.m3u8
CCTV8电视剧,http://43.251.226.89:8080/play/201.m3u8
CCTV9纪录,http://43.251.226.89:8080/play/202.m3u8
CCTV10科教,http://43.251.226.89:8080/play/203.m3u8
CCTV11戏曲,http://43.251.226.89:8080/play/204.m3u8
CCTV12社会与法,http://43.251.226.89:8080/play/205.m3u8
CCTV13新闻,http://43.251.226.89:8080/play/206.m3u8
CCTV14少儿,http://43.251.226.89:8080/play/207.m3u8
CCTV15音乐,http://43.251.226.89:8080/play/208.m3u8
CCTV17农业农村,http://43.251.226.89:8080/play/209.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/210.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/211.m3u8
CGTN外语纪录,http://43.251.226.89:8080/play/212.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/213.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/214.m3u8
CGTN法语,http://43.251.226.89:8080/play/215.m3u8
CGTN俄语,http://43.251.226.89:8080/play/216.m3u8
CGTN,http://43.251.226.89:8080/play/217.m3u8
赛事最经典,http://43.251.226.89:8080/play/218.m3u8
体坛名栏汇,http://43.251.226.89:8080/play/219.m3u8
四海钓鱼,http://43.251.226.89:8080/play/220.m3u8
陕西体育休闲频道,http://43.251.226.89:8080/play/221.m3u8
武术世界,http://43.251.226.89:8080/play/222.m3u8
快乐垂钓,http://43.251.226.89:8080/play/223.m3u8
辽宁广播电视台体育休闲频道,http://43.251.226.89:8080/play/224.m3u8
东方卫视,http://43.251.226.89:8080/play/225.m3u8
江苏卫视,http://43.251.226.89:8080/play/226.m3u8
广东卫视,http://43.251.226.89:8080/play/227.m3u8
北京卫视,http://43.251.226.89:8080/play/228.m3u8
辽宁卫视,http://43.251.226.89:8080/play/229.m3u8
河北卫视,http://43.251.226.89:8080/play/230.m3u8
江西卫视,http://43.251.226.89:8080/play/231.m3u8
河南卫视,http://43.251.226.89:8080/play/232.m3u8
陕西卫视,http://43.251.226.89:8080/play/233.m3u8
大湾区卫视,http://43.251.226.89:8080/play/234.m3u8
湖北卫视,http://43.251.226.89:8080/play/235.m3u8
吉林卫视,http://43.251.226.89:8080/play/236.m3u8
青海卫视,http://43.251.226.89:8080/play/237.m3u8
东南卫视,http://43.251.226.89:8080/play/238.m3u8
海南卫视,http://43.251.226.89:8080/play/239.m3u8
海峡卫视,http://43.251.226.89:8080/play/240.m3u8
中国农林卫视,http://43.251.226.89:8080/play/241.m3u8
兵团卫视,http://43.251.226.89:8080/play/242.m3u8
宁夏卫视,http://43.251.226.89:8080/play/243.m3u8
重庆卫视,http://43.251.226.89:8080/play/244.m3u8
三沙卫视,http://43.251.226.89:8080/play/245.m3u8
上海新闻综合,http://43.251.226.89:8080/play/246.m3u8
上视东方影视,http://43.251.226.89:8080/play/247.m3u8
上海第一财经,http://43.251.226.89:8080/play/248.m3u8
南京新闻综合频道,http://43.251.226.89:8080/play/249.m3u8
南京教科频道,http://43.251.226.89:8080/play/250.m3u8
南京十八频道,http://43.251.226.89:8080/play/251.m3u8
体育休闲频道,http://43.251.226.89:8080/play/252.m3u8
江苏城市频道,http://43.251.226.89:8080/play/253.m3u8
江苏国际,http://43.251.226.89:8080/play/254.m3u8
江苏教育,http://43.251.226.89:8080/play/255.m3u8
江苏影视频道,http://43.251.226.89:8080/play/256.m3u8
江苏综艺频道,http://43.251.226.89:8080/play/257.m3u8
公共新闻频道,http://43.251.226.89:8080/play/258.m3u8
盐城新闻综合,http://43.251.226.89:8080/play/259.m3u8
淮安新闻综合,http://43.251.226.89:8080/play/260.m3u8
泰州新闻综合,http://43.251.226.89:8080/play/261.m3u8
连云港新闻综合,http://43.251.226.89:8080/play/262.m3u8
宿迁新闻综合,http://43.251.226.89:8080/play/263.m3u8
徐州新闻综合,http://43.251.226.89:8080/play/264.m3u8
优漫卡通频道,http://43.251.226.89:8080/play/265.m3u8
江阴新闻综合,http://43.251.226.89:8080/play/266.m3u8
